Time Frame,Date,Ta (°C),Tm (°C),I3 (W/m2),P (kW)
11,03-10-2012 11:54,13.93083333,16.08683333,240.9438333,225.77595
12,03-10-2012 12:54,13.58683333,15.60566667,329.479,295.2982667
13,03-10-2012 13:54,13.9785,16.4025,329.2295,305.8008667
14,03-10-2012 14:54,14.2255,17.27316667,167.085,148.75665
15,03-10-2012 15:54,13.556,14.7125,63.4935,52.8145
16,03-10-2012 16:54,12.87233333,12.77266667,14.282,10.20686667
17,03-10-2012 17:54,12.48683333,11.73483333,0,0
18,03-10-2012 18:54,12.24666667,11.14483333,0,0
19,03-10-2012 19:54,11.81116667,10.68316667,0,0
20,03-10-2012 20:54,11.31,9.655166667,0,0
21,03-10-2012 21:44,11.2742,9.4468,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,03-11-2012 04:54,11.496,10.06216667,0,0
5,03-11-2012 05:54,11.27633333,9.783333333,13.93283333,8.6707
6,03-11-2012 06:54,11.2915,9.934333333,115.4028333,98.52168333
7,03-11-2012 07:54,12.17783333,12.641,215.1973333,182.70495
8,03-11-2012 08:54,13.12433333,14.67,254.5703333,231.3462667
9,03-11-2012 09:54,13.153,15.07383333,290.7703333,265.02195
10,03-11-2012 10:54,13.1975,15.312,401.5038333,356.9030167
11,03-11-2012 11:54,13.69483333,17.548,350.7255,323.9723833
12,03-11-2012 12:54,13.668,16.78333333,431.3426667,389.5828
13,03-11-2012 13:54,13.61733333,17.164,491.0488333,442.88155
14,03-11-2012 14:54,13.94333333,18.123,375.8246667,321.9359667
15,03-11-2012 15:54,13.83283333,16.093,174.3125,140.02115
16,03-11-2012 16:54,13.18533333,13.55,23.23283333,16.83675
17,03-11-2012 17:54,11.96633333,10.28183333,0,0
18,03-11-2012 18:54,11.1155,8.866333333,0,0
19,03-11-2012 19:54,11.1585,9.159,0,0
20,03-11-2012 20:54,11.27883333,9.521,0,0
21,03-11-2012 21:44,10.7432,7.8714,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,03-12-2012 04:54,10.8665,9.9644,0,0.0018
5,03-12-2012 05:54,10.14116667,9.2835,19.06666667,13.01783333
6,03-12-2012 06:54,9.417666667,8.447833333,69.88966667,57.68868333
7,03-12-2012 07:54,8.883,8.6405,131.4936667,108.9335333
8,03-12-2012 08:54,9.428166667,9.720166667,201.592,160.75475
9,03-12-2012 09:54,10.10133333,10.97133333,587.1931667,485.9876667
10,03-12-2012 10:54,11.97016667,17.85916667,807.9158333,719.1340333
11,03-12-2012 11:54,12.35816667,20.2385,787.2435,746.1410833
12,03-12-2012 12:54,12.622,19.967,725.2243333,633.8336833
13,03-12-2012 13:54,12.737,19.15733333,584.8125,528.6410833
14,03-12-2012 14:54,12.70966667,17.93166667,419.0066667,355.9494833
15,03-12-2012 15:54,12.54933333,15.138,180.4086667,127.8001
16,03-12-2012 16:54,11.54466667,11.816,34.56233333,21.79741667
17,03-12-2012 17:54,10.5455,9.314166667,0,0.016616667
18,03-12-2012 18:54,9.7825,7.764833333,0,0
19,03-12-2012 19:54,9.823333333,7.760666667,0,0
20,03-12-2012 20:54,9.988166667,8.161833333,0,0
21,03-12-2012 21:04,9.8,7.577,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,3/13/12 3:59 AM,8.868,7.6,0,0.01945
4,3/13/12 4:59 AM,8.640833333,7.132333333,40.0835,30.40906667
5,3/13/12 5:59 AM,8.1605,5.856,213.056,177.4163333
6,3/13/12 6:59 AM,8.580166667,6.438,456.4455,401.2511667
7,3/13/12 7:59 AM,10.18533333,11.157,624.8286667,576.6671667
8,3/13/12 8:59 AM,11.25,15.30216667,728.2875,676.7137667
9,3/13/12 9:59 AM,11.95666667,18.1105,839.46,749.7672167
10,3/13/12 10:59 AM,12.18066667,19.54966667,830.6613333,732.80475
11,3/13/12 11:59 AM,12.99233333,21.7675,750.8448333,671.16535
12,3/13/12 12:59 PM,13.12583333,21.90366667,622.2986667,552.4016167
13,3/13/12 1:59 PM,13.39783333,20.58233333,448.481,371.6318
14,3/13/12 2:59 PM,13.5,18.33316667,224.9496667,157.2503
15,3/13/12 3:59 PM,13.19416667,16.1865,37.32283333,19.99545
16,3/13/12 4:59 PM,12.51016667,13.11283333,0,0.010066667
17,3/13/12 5:59 PM,11.289,9.209333333,0,0
18,3/13/12 6:59 PM,9.9825,6.290333333,0,0
19,3/13/12 7:59 PM,9.124166667,4.301833333,0,0
20,3/13/12 8:59 PM,8.268333333,3.031,0,0
21,3/13/12 9:49 PM,7.933,2.3816,0,0.0473
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,3/14/12 3:59 AM,5.423,0.007,40.4145,30.45046667
4,3/14/12 4:59 AM,4.816833333,-0.6435,234.8125,211.1936667
5,3/14/12 5:59 AM,4.829333333,-0.642,454.8185,406.4833167
6,3/14/12 6:59 AM,5.338333333,-0.184166667,634.1836667,576.3354667
7,3/14/12 7:59 AM,9.160833333,8.067833333,733.2958333,662.79875
8,3/14/12 8:59 AM,13.51733333,19.0395,775.9886667,660.4251667
9,3/14/12 9:59 AM,15.236,23.2475,758.394,641.8919
10,3/14/12 10:59 AM,16.36316667,26.279,490.111,462.4901333
11,3/14/12 11:59 AM,16.65516667,26.50416667,444.6458333,387.2683333
12,3/14/12 12:59 PM,16.88483333,27.09966667,288.1035,252.5929167
13,3/14/12 1:59 PM,15.99816667,21.59783333,210.8798333,143.2498833
14,3/14/12 2:59 PM,15.751,19.82133333,38.26183333,20.2161
15,3/14/12 3:59 PM,14.98466667,16.97983333,0,1.2753
16,3/14/12 4:59 PM,14.3995,15.17266667,0,0
17,3/14/12 5:59 PM,13.0625,10.96966667,0,0
18,3/14/12 6:59 PM,12.25533333,9.063666667,0,0
19,3/14/12 7:59 PM,11.097,7.392,0,0
20,3/14/12 8:59 PM,11.097,7.392,0.009666667,0.036
21,3/14/12 9:39 PM,11.097,7.392,39.822,27.5638
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,3/15/12 3:59 AM,7.7,3,221.144,179.1694167
4,3/15/12 4:59 AM,7.593666667,3.383333333,439.5885,399.8785
5,3/15/12 5:59 AM,8.56,5.537,632.9361667,577.9113167
6,3/15/12 6:59 AM,8.655333333,5.322666667,769.3645,683.18935
7,3/15/12 7:59 AM,10.66633333,10.41833333,833.6823333,713.5769833
8,3/15/12 8:59 AM,13.59633333,18.249,815.2598333,704.7495667
9,3/15/12 9:59 AM,15.1565,23.04066667,726.5821667,623.7827667
10,3/15/12 10:59 AM,16.347,25.81183333,618.9606667,536.4150667
11,3/15/12 11:59 AM,16.98683333,27.9375,435.385,363.9282667
12,3/15/12 12:59 PM,17.09716667,28.67816667,228.9478333,160.8747167
13,3/15/12 1:59 PM,17.28316667,26.045,40.96133333,22.05161667
14,3/15/12 2:59 PM,16.97183333,23.391,0,0.0729
15,3/15/12 3:59 PM,16.4535,20.12416667,0,0
16,3/15/12 4:59 PM,15.18966667,16.032,0,0
17,3/15/12 5:59 PM,13.62683333,11.58816667,0,0
18,3/15/12 6:59 PM,12.07316667,8.202166667,0,0
19,3/15/12 7:59 PM,11.26266667,7.240833333,0.086166667,0.116666667
20,3/15/12 8:59 PM,10.61166667,7.264166667,47.47616667,36.20305
21,3/15/12 9:39 PM,9.93625,6.43575,259.6315,223.6341333
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,3/16/12 3:59 AM,7.321,3.17,476.1728333,428.9501333
4,3/16/12 4:59 AM,7.112833333,2.744833333,656.578,591.7431167
5,3/16/12 5:59 AM,6.3295,1.1025,781.6371667,681.15305
6,3/16/12 6:59 AM,6.900333333,2.552166667,846.1116667,716.1378667
7,3/16/12 7:59 AM,10.75716667,10.94116667,840.2755,707.9519
8,3/16/12 8:59 AM,14.66083333,18.60216667,771.2026667,639.87945
9,3/16/12 9:59 AM,16.53783333,27.49116667,658.1704348,550.9019783
10,3/16/12 10:59 AM,17.86816667,33.86016667,166.8034615,103.5771154
11,3/16/12 11:59 AM,18.94583333,35.30916667,38.67040816,21.6085102
12,3/16/12 12:59 PM,19.45116667,37.58683333,0,0.1085
13,3/16/12 1:59 PM,19.84916667,39.278,0,0
14,3/16/12 2:39 PM,19.8,34.709,0,0
16,3/16/12 4:56 PM,17.3104,19.5216,0,0
17,3/16/12 5:57 PM,14.9474,12.5804,0,0
18,3/16/12 6:56 PM,12.05625,6.36225,0.338,0.212016667
19,3/16/12 7:56 PM,10.827,4.306,56.65083333,37.62541667
20,3/16/12 8:56 PM,9.477333333,2.475666667,264.3326667,222.9742833
21,3/16/12 9:56 PM,8.497833333,1.286833333,467.5891667,420.526
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/17/12 4:56 AM,5.491333333,-1.5555,636.5,575.1751167
5,3/17/12 5:56 AM,5.837833333,-0.4255,764.1988333,672.47105
6,3/17/12 6:56 AM,9.149166667,4.394833333,817.8208333,702.0922833
7,3/17/12 7:56 AM,12.8185,13.07316667,731.7663333,648.9742
8,3/17/12 8:56 AM,15.53733333,21.69933333,758.5721667,644.28185
9,3/17/12 9:56 AM,17.359,32.29233333,620.7716667,526.5180167
10,3/17/12 10:56 AM,18.91633333,39.631,434.3823333,358.2053167
11,3/17/12 11:56 AM,19.434,43.10766667,216.512,157.90155
12,3/17/12 12:56 PM,20.3735,41.90516667,39.68666667,23.39536667
13,3/17/12 1:56 PM,20.52833333,41.672,0,0.105466667
14,3/17/12 2:56 PM,19.94283333,36.25116667,0,0
15,3/17/12 3:56 PM,19.44216667,29.99466667,0,0
16,3/17/12 4:56 PM,17.96466667,22.016,0,0
17,3/17/12 5:56 PM,15.54066667,13.57083333,43.18347826,28.82795652
18,3/17/12 6:56 PM,13.3305,8.720666667,102.49675,80.907375
19,3/17/12 7:56 PM,12.16366667,7.054,268.209,228.8381833
20,3/17/12 8:56 PM,11.32333333,5.861,579.7278333,476.5662833
21,3/17/12 9:46 PM,10.8776,5.5376,768.7913333,677.1507167
6,3/18/12 6:56 AM,12.932,11.64783333,825.9591667,708.4642833
7,3/18/12 7:51 AM,13.86733333,14.70933333,818.1156667,695.9628667
8,3/18/12 8:51 AM,15.439,19.79216667,749.7858333,636.1725333
9,3/18/12 9:51 AM,17.59866667,30.273,617.8711667,526.32405
10,3/18/12 10:51 AM,18.54516667,40.07566667,430.6758333,356.1067167
11,3/18/12 11:51 AM,19.921,43.72733333,215.0971667,159.6617
12,3/18/12 12:51 PM,20.75633333,44.262,39.782,24.72503333
13,3/18/12 1:51 PM,21.03983333,41.2945,0,0.044483333
14,3/18/12 2:51 PM,20.6655,36.81916667,0,0
15,3/18/12 3:51 PM,19.99516667,30.56483333,0,0
16,3/18/12 4:51 PM,18.01683333,22.063,0,0
17,3/18/12 5:51 PM,15.71866667,14.11833333,0,0
18,3/18/12 6:51 PM,13.73216667,9.841166667,0.216333333,0.1261
19,3/18/12 7:51 PM,12.7135,8.074666667,35.44466667,23.78793333
20,3/18/12 8:51 PM,12.19883333,8.081,103.4831667,84.68848333
21,3/18/12 9:51 PM,11.70833333,7.004,216.9136667,182.67965
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/19/12 4:51 AM,13.114,10.802,459.0816667,363.3720667
5,3/19/12 5:51 AM,12.998,10.66283333,747.4858333,650.7940833
6,3/19/12 6:51 AM,13.48766667,11.69366667,822.2768333,703.1497833
7,3/19/12 7:51 AM,14.79633333,15.39416667,818.4663333,687.5422333
8,3/19/12 8:51 AM,16.00916667,18.70633333,753.8968333,632.1001833
9,3/19/12 9:51 AM,18.1675,28.9815,619.4106667,521.65295
10,3/19/12 10:51 AM,19.90333333,41.91833333,426.612,348.0351667
11,3/19/12 11:51 AM,21.08616667,46.64733333,237.4033333,175.78645
12,3/19/12 12:51 PM,22.19116667,47.645,43.40066667,26.99143333
13,3/19/12 1:51 PM,22.7335,45.96216667,0,0.1974
14,3/19/12 2:51 PM,22.9335,41.0555,0,0
15,3/19/12 3:51 PM,22.28783333,33.35116667,0,0
16,3/19/12 4:51 PM,20.50783333,24.98033333,0,0
17,3/19/12 5:51 PM,17.379,15.69866667,0,0
18,3/19/12 6:51 PM,14.50583333,9.622,0.549666667,0.431116667
19,3/19/12 7:51 PM,12.8375,7.217166667,68.61666667,47.34671667
20,3/19/12 8:51 PM,11.92716667,6.15,232.6973333,205.16955
21,3/19/12 9:41 PM,12.4402,9.0632,451.4371667,411.4703
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/20/12 4:51 AM,9.408,3.773166667,619.775,551.7583167
5,3/20/12 5:51 AM,8.532,3.109,706.184,611.9561
6,3/20/12 6:51 AM,8.940333333,3.974833333,776.532,656.4957833
7,3/20/12 7:51 AM,12.30683333,12.66,749.0083333,622.4932333
8,3/20/12 8:51 AM,15.46433333,24.25066667,746.9240541,617.7430811
9,3/20/12 9:51 AM,17.708,35.33816667,596.8453333,498.3109167
10,3/20/12 10:51 AM,18.91833333,41.50016667,432.202,354.1045667
11,3/20/12 11:51 AM,20.35433333,43.87583333,209.0523333,156.6779333
12,3/20/12 12:51 PM,21.321,41.56033333,51.63309091,33.41949091
13,3/20/12 1:31 PM,21.20925,36.567,0,0.1901
14,3/20/12 2:54 PM,20.93016667,33.848,0,0
15,3/20/12 3:54 PM,20.9585,29.0545,0,0
16,3/20/12 4:54 PM,19.49516667,22.04566667,0,0
17,3/20/12 5:56 PM,17.0698,15.7364,0,0
18,3/20/12 6:56 PM,14.50666667,10.80166667,1.128333333,0.6519
19,3/20/12 7:56 PM,12.88016667,7.543333333,49.5595,36.9402
20,3/20/12 8:56 PM,11.95266667,7.317333333,128.702,107.9904833
21,3/20/12 9:56 PM,11.591,8.820833333,346.1890741,321.5408889
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,3/21/12 4:56 AM,11.56133333,9.201666667,611.6471667,555.4325
5,3/21/12 5:56 AM,11.354,9.636333333,760.845,662.2886167
6,3/21/12 6:56 AM,12.45033333,11.16866667,834.8741667,715.56295
7,3/21/12 7:56 AM,13.25783333,13.27333333,826.6888333,706.2560667
